"sampno","beta","lnlike"
1,6e-04,-12046.5549950075
2,6e-04,-12046.5549950075
3,6e-04,-12046.5549950075
4,6e-04,-12046.5549950075
5,6e-04,-12046.5549950075
6,6e-04,-12046.5549950075
7,6e-04,-12046.5549950075
8,6e-04,-12046.5549950075
9,0.000476967258982402,-9566.46119183579
10,0.000476967258982402,-9566.46119183579
11,0.000476967258982402,-9566.46119183579
12,0.000476967258982402,-9566.46119183579
13,0.000476967258982402,-9566.46119183579
14,0.000476967258982402,-9566.46119183579
15,0.000476967258982402,-9566.46119183579
16,0.000476967258982402,-9566.46119183579
17,0.000409470275961033,-4630.58622129593
18,0.000409470275961033,-4630.58622129593
19,0.000409470275961033,-4630.58622129593
20,0.000409470275961033,-4630.58622129593
21,0.000409470275961033,-4630.58622129593
22,0.000409470275961033,-4630.58622129593
23,0.000409470275961033,-4630.58622129593
24,0.000409470275961033,-4630.58622129593
25,0.000409470275961033,-4630.58622129593
26,0.000409470275961033,-4630.58622129593
27,0.000409470275961033,-4630.58622129593
28,0.000409470275961033,-4630.58622129593
29,0.000409470275961033,-4630.58622129593
30,0.000409470275961033,-4630.58622129593
31,0.000409470275961033,-4630.58622129593
32,0.000409470275961033,-4630.58622129593
33,0.000409470275961033,-4630.58622129593
34,0.000409470275961033,-4630.58622129593
35,0.000409470275961033,-4630.58622129593
36,0.000409470275961033,-4630.58622129593
37,0.000409470275961033,-4630.58622129593
38,0.000409470275961033,-4630.58622129593
39,0.000409470275961033,-4630.58622129593
40,0.000409470275961033,-4630.58622129593
41,0.000409470275961033,-4630.58622129593
42,0.000409470275961033,-4630.58622129593
43,0.000409470275961033,-4630.58622129593
44,0.000409470275961033,-4630.58622129593
45,0.000409470275961033,-4630.58622129593
46,0.000409470275961033,-4630.58622129593
47,0.000409470275961033,-4630.58622129593
48,0.000409470275961033,-4630.58622129593
49,0.000409470275961033,-4630.58622129593
50,0.000409470275961033,-4630.58622129593
51,0.000409470275961033,-4630.58622129593
52,0.000409470275961033,-4630.58622129593
53,0.000409470275961033,-4630.58622129593
54,0.000409470275961033,-4630.58622129593
55,0.000409470275961033,-4630.58622129593
56,0.000409470275961033,-4630.58622129593
57,0.000409470275961033,-4630.58622129593
58,0.000409470275961033,-4630.58622129593
59,0.000409470275961033,-4630.58622129593
60,0.000409470275961033,-4630.58622129593
61,0.000409470275961033,-4630.58622129593
62,0.000409470275961033,-4630.58622129593
63,0.000409470275961033,-4630.58622129593
64,0.000409470275961033,-4630.58622129593
65,0.000409470275961033,-4630.58622129593
66,0.000409470275961033,-4630.58622129593
67,0.000409470275961033,-4630.58622129593
68,0.000409470275961033,-4630.58622129593
69,0.000409470275961033,-4630.58622129593
70,0.000409470275961033,-4630.58622129593
71,0.000409470275961033,-4630.58622129593
72,0.000409470275961033,-4630.58622129593
73,0.000419950715630203,-3661.80322130683
74,0.000419950715630203,-3661.80322130683
75,0.000419950715630203,-3661.80322130683
76,0.000419950715630203,-3661.80322130683
77,0.000419950715630203,-3661.80322130683
78,0.000419950715630203,-3661.80322130683
79,0.000419950715630203,-3661.80322130683
80,0.000419950715630203,-3661.80322130683
