date,pf_d1_1,pf_d1_2,pf_d1_3,pf_d1_4,pf_d1_5,pf_d1_6,pf_d1_7,pf_d1_8,pf_d1_9,pf_d1_10,pf_d2_1,pf_d2_2,pf_d2_3,pf_d2_4,pf_d2_5,pf_d2_6,pf_d2_7,pf_d2_8,pf_d2_9,pf_d2_10,pf_B_1,pf_B_2,pf_B_3,pf_B_4,pf_B_5,pf_B_6,pf_B_7,pf_B_8,pf_B_9,pf_B_10,mo_d1_1,mo_d1_2,mo_d1_3,mo_d1_4,mo_d1_5,mo_d1_6,mo_d1_7,mo_d1_8,mo_d1_9,mo_d1_10,mo_d2_1,mo_d2_2,mo_d2_3,mo_d2_4,mo_d2_5,mo_d2_6,mo_d2_7,mo_d2_8,mo_d2_9,mo_d2_10,mo_B_1,mo_B_2,mo_B_3,mo_B_4,mo_B_5,mo_B_6,mo_B_7,mo_B_8,mo_B_9,mo_B_10,az_d1_1,az_d1_2,az_d1_3,az_d1_4,az_d1_5,az_d1_6,az_d1_7,az_d1_8,az_d1_9,az_d1_10,az_d2_1,az_d2_2,az_d2_3,az_d2_4,az_d2_5,az_d2_6,az_d2_7,az_d2_8,az_d2_9,az_d2_10,ja_d1_1,ja_d1_2,ja_d1_3,ja_d1_4,ja_d1_5,ja_d1_6,ja_d1_7,ja_d1_8,ja_d1_9,ja_d1_10,ja_d2_1,ja_d2_2,ja_d2_3,ja_d2_4,ja_d2_5,ja_d2_6,ja_d2_7,ja_d2_8,ja_d2_9,ja_d2_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/14/2021,0,0.000285848,0.005922962,0.006722122,0.007218495,0.008350237,0.005513819,0.000188354,4.31279E-05,6.83026E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.95045E-07,9.05092E-07,4.68947E-07,3.9091E-07,0,0,0,6.20933E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.37893E-07,1.17273E-06,7.92765E-05,2.36924E-06,0,6.20933E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/15/2021,0,0.000285848,0.005922962,0.006722122,0.007218495,0.008350237,0.005513819,0.000188354,4.31279E-05,6.83026E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.95045E-07,9.05092E-07,4.68947E-07,3.9091E-07,0,0,0,6.20933E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.37893E-07,1.17273E-06,7.92765E-05,2.36924E-06,0,6.20933E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/16/2021,0,0.000285848,0.005922962,0.006722122,0.007218495,0.008350237,0.005513819,0.000188354,4.31279E-05,6.83026E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.95045E-07,9.05092E-07,4.68947E-07,3.9091E-07,0,0,0,6.20933E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.37893E-07,1.17273E-06,7.92765E-05,2.36924E-06,0,6.20933E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/17/2021,0,0.000285848,0.005922962,0.006722122,0.007218495,0.008350237,0.005513819,0.000188354,4.31279E-05,6.83026E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.95045E-07,9.05092E-07,4.68947E-07,3.9091E-07,0,0,0,6.20933E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.37893E-07,1.17273E-06,7.92765E-05,2.36924E-06,0,6.20933E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/18/2021,0,0.000955725,0.0107844,0.011231745,0.013846586,0.018618671,0.013438738,0.001733096,0.003371817,0.009543739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.11356E-07,5.59403E-05,0.000569303,0.000490049,0.00036081,0.000328496,2.90231E-05,2.61381E-06,1.24187E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.37893E-07,1.95455E-06,8.3377E-05,3.55385E-06,0,6.20933E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9091E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/2021,0,0.000955725,0.0107844,0.011231745,0.013846586,0.018618671,0.013438738,0.001733096,0.003371817,0.009543739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.11356E-07,5.59403E-05,0.000569303,0.000490049,0.00036081,0.000328496,2.90231E-05,2.61381E-06,1.24187E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.37893E-07,1.95455E-06,8.3377E-05,3.55385E-06,0,6.20933E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9091E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/2021,0,0.000955725,0.0107844,0.011231745,0.013846586,0.018618671,0.013438738,0.001733096,0.003371817,0.009543739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.11356E-07,5.59403E-05,0.000569303,0.000490049,0.00036081,0.000328496,2.90231E-05,2.61381E-06,1.24187E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.37893E-07,1.95455E-06,8.3377E-05,3.55385E-06,0,6.20933E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9091E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/21/2021,0,0.000955725,0.0107844,0.011231745,0.013846586,0.018618671,0.013438738,0.001733096,0.003371817,0.009543739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.11356E-07,5.59403E-05,0.000569303,0.000490049,0.00036081,0.000328496,2.90231E-05,2.61381E-06,1.24187E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.37893E-07,1.95455E-06,8.3377E-05,3.55385E-06,0,6.20933E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9091E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/22/2021,0,0.000955725,0.0107844,0.011231745,0.013846586,0.018618671,0.013438738,0.001733096,0.003371817,0.009543739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.11356E-07,5.59403E-05,0.000569303,0.000490049,0.00036081,0.000328496,2.90231E-05,2.61381E-06,1.24187E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.37893E-07,1.95455E-06,8.3377E-05,3.55385E-06,0,6.20933E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9091E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/23/2021,0,0.000955725,0.0107844,0.011231745,0.013846586,0.018618671,0.013438738,0.001733096,0.003371817,0.009543739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.11356E-07,5.59403E-05,0.000569303,0.000490049,0.00036081,0.000328496,2.90231E-05,2.61381E-06,1.24187E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.37893E-07,1.95455E-06,8.3377E-05,3.55385E-06,0,6.20933E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9091E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
