sample,epiweek,value,origin_date,scenario_id,target_end_date,horizon,location,target_variable
10,31,175.18705036585175,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,32,144.6239451379324,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,33,123.98198171454546,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,34,110.90198253336473,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,35,103.90926868481823,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,36,102.27407834006173,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,37,106.41727358728001,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,38,116.51260338898435,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,39,131.76766016782727,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,40,153.73626122995364,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,41,184.97837256130745,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,42,229.3049752522488,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,43,292.4926355818804,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,44,383.2624920162558,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,45,514.9299912562411,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,46,707.7150070973411,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,47,992.3760540338484,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,48,1416.1221539535854,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,49,2049.2925459056287,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,50,2997.07600253663,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,51,4413.678373577586,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,52,6519.5253181751,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,1,9618.405800623552,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,2,14107.182390376534,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,3,20466.381146003685,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,4,29206.685758243333,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,5,40743.7897182737,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,6,55180.662937135756,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,7,72016.5168000603,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,8,89885.99238123576,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,9,106528.52836716814,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,10,119191.36377419661,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,11,125463.9389714393,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,12,124187.23830510904,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,13,115899.90395401817,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,14,102541.83101703771,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,15,86643.07989416766,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,16,70501.87896135217,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,17,55713.77881131814,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,18,43097.98270409329,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,19,32866.15397570947,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
10,20,24858.77665661555,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,21,3362.2391736828904,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,22,2933.2428982080764,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,23,2587.128045762275,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,24,2289.6093120394985,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,25,2033.970404207215,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,26,1818.5918279953662,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,27,1642.86417474818,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,28,1506.3302539325107,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,29,1408.8518608856477,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,30,1351.2572000392067,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,31,1335.4503455089082,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,32,1367.3969157692636,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,33,1459.4207391207724,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,34,1632.4603347387513,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,35,1923.7610023183868,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,36,2398.3697721535073,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,37,3176.339667270786,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,38,4445.365835586055,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,39,6434.411026206431,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,40,9615.719698593502,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,41,14777.406942613108,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,42,23301.96275999051,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,43,37429.91687374574,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,44,60704.80030655994,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,45,98035.76379998196,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,46,154282.8282879921,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
