date,pf_d1_1,pf_d1_2,pf_d1_3,pf_d1_4,pf_d1_5,pf_d1_6,pf_d1_7,pf_d1_8,pf_d1_9,pf_d1_10,pf_d2_1,pf_d2_2,pf_d2_3,pf_d2_4,pf_d2_5,pf_d2_6,pf_d2_7,pf_d2_8,pf_d2_9,pf_d2_10,mo_d1_1,mo_d1_2,mo_d1_3,mo_d1_4,mo_d1_5,mo_d1_6,mo_d1_7,mo_d1_8,mo_d1_9,mo_d1_10,mo_d2_1,mo_d2_2,mo_d2_3,mo_d2_4,mo_d2_5,mo_d2_6,mo_d2_7,mo_d2_8,mo_d2_9,mo_d2_10,az_d1_1,az_d1_2,az_d1_3,az_d1_4,az_d1_5,az_d1_6,az_d1_7,az_d1_8,az_d1_9,az_d1_10,az_d2_1,az_d2_2,az_d2_3,az_d2_4,az_d2_5,az_d2_6,az_d2_7,az_d2_8,az_d2_9,az_d2_10
5/23/2021,0.0000,0.0123,0.0615,0.0614,0.0686,0.1460,0.3424,0.7925,0.7637,0.5256,0.0000,0.0058,0.0292,0.0291,0.0325,0.0383,0.0221,0.2378,0.7637,0.5256,0.0000,0.0013,0.0070,0.0085,0.0095,0.0312,0.0555,0.0640,0.1179,0.4744,0.0000,0.0000,0.0004,0.0019,0.0021,0.0018,0.0009,0.0273,0.1156,0.4667,0.0000,0.0302,0.1512,0.1510,0.1687,0.1796,0.4529,0.0000,0.0000,0.0000,0.0000,0.0054,0.0272,0.0272,0.0304,0.0264,0.0824,0.0000,0.0000,0.0000
5/24/2021,0.0000,0.0123,0.0615,0.0614,0.0686,0.2551,0.3424,0.7925,0.7637,0.5256,0.0000,0.0062,0.0310,0.0310,0.0346,0.0440,0.0221,0.4678,0.7637,0.5256,0.0000,0.0013,0.0070,0.0085,0.0095,0.0525,0.0555,0.0640,0.1179,0.4744,0.0000,0.0000,0.0004,0.0019,0.0021,0.0018,0.0009,0.0640,0.1179,0.4744,0.0000,0.0302,0.1512,0.1510,0.1687,0.1796,0.4529,0.0000,0.0000,0.0000,0.0000,0.0085,0.0425,0.0424,0.0474,0.0412,0.1286,0.0000,0.0000,0.0000
5/25/2021,0.0000,0.0123,0.0615,0.0614,0.0686,0.2551,0.3424,0.7925,0.7637,0.5256,0.0000,0.0062,0.0310,0.0310,0.0346,0.0440,0.0221,0.4678,0.7637,0.5256,0.0000,0.0013,0.0070,0.0085,0.0095,0.0525,0.0555,0.0640,0.1179,0.4744,0.0000,0.0000,0.0004,0.0019,0.0021,0.0018,0.0009,0.0640,0.1179,0.4744,0.0000,0.0302,0.1512,0.1510,0.1687,0.1796,0.4529,0.0000,0.0000,0.0000,0.0000,0.0085,0.0425,0.0424,0.0474,0.0412,0.1286,0.0000,0.0000,0.0000
5/26/2021,0.0000,0.0123,0.0615,0.0614,0.0686,0.2551,0.3424,0.7925,0.7637,0.5256,0.0000,0.0062,0.0310,0.0310,0.0346,0.0440,0.0221,0.4678,0.7637,0.5256,0.0000,0.0013,0.0070,0.0085,0.0095,0.0525,0.0555,0.0640,0.1179,0.4744,0.0000,0.0000,0.0004,0.0019,0.0021,0.0018,0.0009,0.0640,0.1179,0.4744,0.0000,0.0302,0.1512,0.1510,0.1687,0.1796,0.4529,0.0000,0.0000,0.0000,0.0000,0.0085,0.0425,0.0424,0.0474,0.0412,0.1286,0.0000,0.0000,0.0000
5/27/2021,0.0000,0.0123,0.0615,0.0614,0.0686,0.2551,0.3424,0.7925,0.7637,0.5256,0.0000,0.0062,0.0310,0.0310,0.0346,0.0440,0.0221,0.4678,0.7637,0.5256,0.0000,0.0013,0.0070,0.0085,0.0095,0.0525,0.0555,0.0640,0.1179,0.4744,0.0000,0.0000,0.0004,0.0019,0.0021,0.0018,0.0009,0.0640,0.1179,0.4744,0.0000,0.0302,0.1512,0.1510,0.1687,0.1796,0.4529,0.0000,0.0000,0.0000,0.0000,0.0085,0.0425,0.0424,0.0474,0.0412,0.1286,0.0000,0.0000,0.0000
5/28/2021,0.0000,0.0123,0.0615,0.0614,0.0686,0.2551,0.3424,0.7925,0.7637,0.5256,0.0000,0.0062,0.0310,0.0310,0.0346,0.0440,0.0221,0.4678,0.7637,0.5256,0.0000,0.0013,0.0070,0.0085,0.0095,0.0525,0.0555,0.0640,0.1179,0.4744,0.0000,0.0000,0.0004,0.0019,0.0021,0.0018,0.0009,0.0640,0.1179,0.4744,0.0000,0.0302,0.1512,0.1510,0.1687,0.1796,0.4529,0.0000,0.0000,0.0000,0.0000,0.0085,0.0425,0.0424,0.0474,0.0412,0.1286,0.0000,0.0000,0.0000
5/29/2021,0.0000,0.0123,0.0615,0.0614,0.0686,0.2551,0.3424,0.7925,0.7637,0.5256,0.0000,0.0062,0.0310,0.0310,0.0346,0.0440,0.0221,0.4678,0.7637,0.5256,0.0000,0.0013,0.0070,0.0085,0.0095,0.0525,0.0555,0.0640,0.1179,0.4744,0.0000,0.0000,0.0004,0.0019,0.0021,0.0018,0.0009,0.0640,0.1179,0.4744,0.0000,0.0302,0.1512,0.1510,0.1687,0.1796,0.4529,0.0000,0.0000,0.0000,0.0000,0.0085,0.0425,0.0424,0.0474,0.0412,0.1286,0.0000,0.0000,0.0000
5/30/2021,0.0000,0.0123,0.0615,0.0614,0.0686,0.2551,0.3424,0.7925,0.7637,0.5256,0.0000,0.0062,0.0310,0.0310,0.0346,0.0440,0.0221,0.4678,0.7637,0.5256,0.0000,0.0013,0.0070,0.0085,0.0095,0.0525,0.0555,0.0640,0.1179,0.4744,0.0000,0.0000,0.0004,0.0019,0.0021,0.0018,0.0009,0.0640,0.1179,0.4744,0.0000,0.0302,0.1512,0.1510,0.1687,0.1796,0.4529,0.0000,0.0000,0.0000,0.0000,0.0085,0.0425,0.0424,0.0474,0.0412,0.1286,0.0000,0.0000,0.0000
5/31/2021,0.0000,0.0123,0.0615,0.0614,0.0686,0.3642,0.3424,0.7925,0.7637,0.5256,0.0000,0.0062,0.0310,0.0310,0.0346,0.0440,0.0221,0.7157,0.7637,0.5256,0.0000,0.0013,0.0070,0.0085,0.0095,0.0726,0.0555,0.0640,0.1179,0.4744,0.0000,0.0000,0.0004,0.0019,0.0021,0.0018,0.0312,0.0640,0.1179,0.4744,0.0000,0.0302,0.1512,0.1510,0.1687,0.2204,0.4529,0.0000,0.0000,0.0000,0.0000,0.0098,0.0492,0.0491,0.0549,0.0477,0.1490,0.0000,0.0000,0.0000
6/1/2021,0.0000,0.0123,0.0615,0.0614,0.0686,0.3642,0.3424,0.7925,0.7637,0.5256,0.0000,0.0062,0.0310,0.0310,0.0346,0.0440,0.0221,0.7157,0.7637,0.5256,0.0000,0.0013,0.0070,0.0085,0.0095,0.0726,0.0555,0.0640,0.1179,0.4744,0.0000,0.0000,0.0004,0.0019,0.0021,0.0018,0.0312,0.0640,0.1179,0.4744,0.0000,0.0302,0.1512,0.1510,0.1687,0.2204,0.4529,0.0000,0.0000,0.0000,0.0000,0.0098,0.0492,0.0491,0.0549,0.0477,0.1490,0.0000,0.0000,0.0000
6/2/2021,0.0000,0.0123,0.0615,0.0614,0.0686,0.3642,0.3424,0.7925,0.7637,0.5256,0.0000,0.0062,0.0310,0.0310,0.0346,0.0440,0.0221,0.7157,0.7637,0.5256,0.0000,0.0013,0.0070,0.0085,0.0095,0.0726,0.0555,0.0640,0.1179,0.4744,0.0000,0.0000,0.0004,0.0019,0.0021,0.0018,0.0312,0.0640,0.1179,0.4744,0.0000,0.0302,0.1512,0.1510,0.1687,0.2204,0.4529,0.0000,0.0000,0.0000,0.0000,0.0098,0.0492,0.0491,0.0549,0.0477,0.1490,0.0000,0.0000,0.0000
6/3/2021,0.0000,0.0123,0.0615,0.0614,0.0686,0.3642,0.3424,0.7925,0.7637,0.5256,0.0000,0.0062,0.0310,0.0310,0.0346,0.0440,0.0221,0.7157,0.7637,0.5256,0.0000,0.0013,0.0070,0.0085,0.0095,0.0726,0.0555,0.0640,0.1179,0.4744,0.0000,0.0000,0.0004,0.0019,0.0021,0.0018,0.0312,0.0640,0.1179,0.4744,0.0000,0.0302,0.1512,0.1510,0.1687,0.2204,0.4529,0.0000,0.0000,0.0000,0.0000,0.0098,0.0492,0.0491,0.0549,0.0477,0.1490,0.0000,0.0000,0.0000
6/4/2021,0.0000,0.0123,0.0615,0.0614,0.0686,0.3642,0.3424,0.7925,0.7637,0.5256,0.0000,0.0062,0.0310,0.0310,0.0346,0.0440,0.0221,0.7157,0.7637,0.5256,0.0000,0.0013,0.0070,0.0085,0.0095,0.0726,0.0555,0.0640,0.1179,0.4744,0.0000,0.0000,0.0004,0.0019,0.0021,0.0018,0.0312,0.0640,0.1179,0.4744,0.0000,0.0302,0.1512,0.1510,0.1687,0.2204,0.4529,0.0000,0.0000,0.0000,0.0000,0.0098,0.0492,0.0491,0.0549,0.0477,0.1490,0.0000,0.0000,0.0000
6/5/2021,0.0000,0.0123,0.0615,0.0614,0.0686,0.3642,0.3424,0.7925,0.7637,0.5256,0.0000,0.0062,0.0310,0.0310,0.0346,0.0440,0.0221,0.7157,0.7637,0.5256,0.0000,0.0013,0.0070,0.0085,0.0095,0.0726,0.0555,0.0640,0.1179,0.4744,0.0000,0.0000,0.0004,0.0019,0.0021,0.0018,0.0312,0.0640,0.1179,0.4744,0.0000,0.0302,0.1512,0.1510,0.1687,0.2204,0.4529,0.0000,0.0000,0.0000,0.0000,0.0098,0.0492,0.0491,0.0549,0.0477,0.1490,0.0000,0.0000,0.0000
6/6/2021,0.0000,0.0123,0.0615,0.0614,0.0686,0.3642,0.3424,0.7925,0.7637,0.5256,0.0000,0.0062,0.0310,0.0310,0.0346,0.0440,0.0221,0.7157,0.7637,0.5256,0.0000,0.0013,0.0070,0.0085,0.0095,0.0726,0.0555,0.0640,0.1179,0.4744,0.0000,0.0000,0.0004,0.0019,0.0021,0.0018,0.0312,0.0640,0.1179,0.4744,0.0000,0.0302,0.1512,0.1510,0.1687,0.2204,0.4529,0.0000,0.0000,0.0000,0.0000,0.0098,0.0492,0.0491,0.0549,0.0477,0.1490,0.0000,0.0000,0.0000
6/7/2021,0.0000,0.0123,0.0615,0.0614,0.0686,0.4733,0.3424,0.7925,0.7637,0.5256,0.0000,0.0062,0.0310,0.0310,0.0346,0.0440,0.1352,0.7925,0.7637,0.5256,0.0000,0.0013,0.0070,0.0085,0.0095,0.0949,0.0555,0.0640,0.1179,0.4744,0.0000,0.0000,0.0004,0.0019,0.0021,0.0018,0.0547,0.0640,0.1179,0.4744,0.0000,0.0302,0.1512,0.1510,0.1694,0.2836,0.4529,0.0000,0.0000,0.0000,0.0000,0.0105,0.0527,0.0526,0.0588,0.0510,0.1595,0.0000,0.0000,0.0000
6/8/2021,0.0000,0.0123,0.0615,0.0614,0.0686,0.4733,0.3424,0.7925,0.7637,0.5256,0.0000,0.0062,0.0310,0.0310,0.0346,0.0440,0.1352,0.7925,0.7637,0.5256,0.0000,0.0013,0.0070,0.0085,0.0095,0.0949,0.0555,0.0640,0.1179,0.4744,0.0000,0.0000,0.0004,0.0019,0.0021,0.0018,0.0547,0.0640,0.1179,0.4744,0.0000,0.0302,0.1512,0.1510,0.1694,0.2836,0.4529,0.0000,0.0000,0.0000,0.0000,0.0105,0.0527,0.0526,0.0588,0.0510,0.1595,0.0000,0.0000,0.0000
6/9/2021,0.0000,0.0123,0.0615,0.0614,0.0686,0.4733,0.3424,0.7925,0.7637,0.5256,0.0000,0.0062,0.0310,0.0310,0.0346,0.0440,0.1352,0.7925,0.7637,0.5256,0.0000,0.0013,0.0070,0.0085,0.0095,0.0949,0.0555,0.0640,0.1179,0.4744,0.0000,0.0000,0.0004,0.0019,0.0021,0.0018,0.0547,0.0640,0.1179,0.4744,0.0000,0.0302,0.1512,0.1510,0.1694,0.2836,0.4529,0.0000,0.0000,0.0000,0.0000,0.0105,0.0527,0.0526,0.0588,0.0510,0.1595,0.0000,0.0000,0.0000
6/10/2021,0.0000,0.0123,0.0615,0.0614,0.0686,0.4733,0.3424,0.7925,0.7637,0.5256,0.0000,0.0062,0.0310,0.0310,0.0346,0.0440,0.1352,0.7925,0.7637,0.5256,0.0000,0.0013,0.0070,0.0085,0.0095,0.0949,0.0555,0.0640,0.1179,0.4744,0.0000,0.0000,0.0004,0.0019,0.0021,0.0018,0.0547,0.0640,0.1179,0.4744,0.0000,0.0302,0.1512,0.1510,0.1694,0.2836,0.4529,0.0000,0.0000,0.0000,0.0000,0.0105,0.0527,0.0526,0.0588,0.0510,0.1595,0.0000,0.0000,0.0000
6/11/2021,0.0000,0.0123,0.0615,0.0614,0.0686,0.4733,0.3424,0.7925,0.7637,0.5256,0.0000,0.0062,0.0310,0.0310,0.0346,0.0440,0.1352,0.7925,0.7637,0.5256,0.0000,0.0013,0.0070,0.0085,0.0095,0.0949,0.0555,0.0640,0.1179,0.4744,0.0000,0.0000,0.0004,0.0019,0.0021,0.0018,0.0547,0.0640,0.1179,0.4744,0.0000,0.0302,0.1512,0.1510,0.1694,0.2836,0.4529,0.0000,0.0000,0.0000,0.0000,0.0105,0.0527,0.0526,0.0588,0.0510,0.1595,0.0000,0.0000,0.0000
6/12/2021,0.0000,0.0123,0.0615,0.0614,0.0686,0.4733,0.3424,0.7925,0.7637,0.5256,0.0000,0.0062,0.0310,0.0310,0.0346,0.0440,0.1352,0.7925,0.7637,0.5256,0.0000,0.0013,0.0070,0.0085,0.0095,0.0949,0.0555,0.0640,0.1179,0.4744,0.0000,0.0000,0.0004,0.0019,0.0021,0.0018,0.0547,0.0640,0.1179,0.4744,0.0000,0.0302,0.1512,0.1510,0.1694,0.2836,0.4529,0.0000,0.0000,0.0000,0.0000,0.0105,0.0527,0.0526,0.0588,0.0510,0.1595,0.0000,0.0000,0.0000
6/13/2021,0.0000,0.0123,0.0615,0.0614,0.0686,0.4733,0.3424,0.7925,0.7637,0.5256,0.0000,0.0062,0.0310,0.0310,0.0346,0.0440,0.1352,0.7925,0.7637,0.5256,0.0000,0.0013,0.0070,0.0085,0.0095,0.0949,0.0555,0.0640,0.1179,0.4744,0.0000,0.0000,0.0004,0.0019,0.0021,0.0018,0.0547,0.0640,0.1179,0.4744,0.0000,0.0302,0.1512,0.1510,0.1694,0.2836,0.4529,0.0000,0.0000,0.0000,0.0000,0.0105,0.0527,0.0526,0.0588,0.0510,0.1595,0.0000,0.0000,0.0000
6/14/2021,0.0000,0.0123,0.0615,0.0614,0.2066,0.4733,0.3424,0.7925,0.7637,0.5256,0.0000,0.0062,0.0310,0.0310,0.0346,0.0440,0.2659,0.7925,0.7637,0.5256,0.0000,0.0013,0.0070,0.0085,0.0333,0.0949,0.0555,0.0640,0.1179,0.4744,0.0000,0.0013,0.0070,0.0085,0.0095,0.0083,0.0555,0.0640,0.1179,0.4744,0.0000,0.0302,0.1512,0.1510,0.2511,0.2836,0.4529,0.0000,0.0000,0.0000,0.0000,0.0124,0.0622,0.0621,0.0693,0.0602,0.1882,0.0000,0.0000,0.0000
6/15/2021,0.0000,0.0123,0.0615,0.0614,0.2066,0.4733,0.3424,0.7925,0.7637,0.5256,0.0000,0.0062,0.0310,0.0310,0.0346,0.0440,0.2659,0.7925,0.7637,0.5256,0.0000,0.0013,0.0070,0.0085,0.0333,0.0949,0.0555,0.0640,0.1179,0.4744,0.0000,0.0013,0.0070,0.0085,0.0095,0.0083,0.0555,0.0640,0.1179,0.4744,0.0000,0.0302,0.1512,0.1510,0.2511,0.2836,0.4529,0.0000,0.0000,0.0000,0.0000,0.0124,0.0622,0.0621,0.0693,0.0602,0.1882,0.0000,0.0000,0.0000
