survey	contact_type	part_age	cont_age	m_est
baseline	community	[20,30)	[30,40)	2.5985460197661996
baseline	community	[20,30)	[40,50)	2.161654736275285
baseline	community	[20,30)	[50,60)	1.6461531084149263
baseline	community	[20,30)	[60,70)	0.8089765066095557
baseline	community	[20,30)	[70,80)	0.35562973110947244
baseline	community	[20,30)	[80,Inf]	0.20908028769420722
baseline	community	[30,40)	[0,10)	1.3263490650284573
baseline	community	[30,40)	[10,20)	1.6831878224088364
baseline	community	[30,40)	[20,30)	2.7329134445965013
baseline	community	[30,40)	[30,40)	3.8251905781224287
baseline	community	[30,40)	[40,50)	2.7832401351180867
baseline	community	[30,40)	[50,60)	1.8657802455310937
baseline	community	[30,40)	[60,70)	0.9792049469319666
baseline	community	[30,40)	[70,80)	0.4347211938440313
baseline	community	[30,40)	[80,Inf]	0.24650266563213183
baseline	community	[40,50)	[0,10)	1.0609050227577372
baseline	community	[40,50)	[10,20)	1.5091454741640873
baseline	community	[40,50)	[20,30)	1.97806937334337
baseline	community	[40,50)	[30,40)	2.4216713544873323
baseline	community	[40,50)	[40,50)	3.6193074873144457
baseline	community	[40,50)	[50,60)	2.089835069068888
baseline	community	[40,50)	[60,70)	1.0531742613719421
baseline	community	[40,50)	[70,80)	0.5066363761662442
baseline	community	[40,50)	[80,Inf]	0.24986079701866043
baseline	community	[50,60)	[0,10)	0.7321437403487859
baseline	community	[50,60)	[10,20)	1.0478027575573396
baseline	community	[50,60)	[20,30)	1.4352447733052467
baseline	community	[50,60)	[30,40)	1.546777762049764
baseline	community	[50,60)	[40,50)	1.991207217025296
baseline	community	[50,60)	[50,60)	2.306953903545261
baseline	community	[50,60)	[60,70)	1.2446629089740504
baseline	community	[50,60)	[70,80)	0.6010146590446486
baseline	community	[50,60)	[80,Inf]	0.33091082168441965
baseline	community	[60,70)	[0,10)	0.5294962745154943
baseline	community	[60,70)	[10,20)	0.6210005193935012
baseline	community	[60,70)	[20,30)	0.837072443166137
baseline	community	[60,70)	[30,40)	0.9634058657865178
baseline	community	[60,70)	[40,50)	1.190900671575026
baseline	community	[60,70)	[50,60)	1.4771594208594854
baseline	community	[60,70)	[60,70)	1.7033800983136196
baseline	community	[60,70)	[70,80)	0.9520814041576096
